"","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","country_id"
"56",-0.4439246,57.9645690084949,NA,11479.5601711788,42228429,1313567,1373215,6442442,1506316885.7744,17.7300750711665,6.37850392208528,0.611072022730303,12.3136966845008,NA,NA,NA,"DZA"
"57",-0.2613976,45.8665551000923,34.4,11571.7752157336,17084357,565818,656958,5365261,1455697145.23622,68.7886817522951,27.6345957884163,2.40029910130242,4.9569068250681,10.930421439919,NA,67.0504011700022,"ECU"
"58",1.191938,145.000501615964,NA,35308.0862153163,1321977,89079,170367,31981,1180195916.01414,30.4112491373361,NA,15.4163092221449,0.270748503929589,NA,32.245974547037,NA,"EST"
"59",-0.5848041,48.2782710596295,NA,11366.3363290551,98423595,2302105,2845255,12340832,8141300000,98.8734692852479,25.5652539413948,0.537267286680377,4.0762495109675,NA,NA,NA,"EGY"
"60",-1.727732,NA,NA,NA,NA,NA,NA,102729,61015000,NA,NA,NA,NA,NA,NA,NA,"ERI"
"61",1.002136,67.519691097852,NA,40329.9841465671,46796540,3930431,5138681,80672105,49074301840.6961,93.6747673244434,25.6242213633743,12.6902371918259,0.0017225102188831,NA,4.73330175272383,NA,"ESP"
"62",-0.6074697,31.1661557783355,NA,2103.12900246054,109224559,1769192,2054879,11501244,3360419368.65295,109.224559,4.02809957786142,1.07952601222951,0,NA,NA,13.2479485078869,"ETH"
"63",1.984208,77.8544100523346,NA,48199.9811664166,5515525,525215,672812,13364839,-10591740312.5275,18.1485472672831,23.1908295221216,5.73968325726902,0,NA,32.0746921302407,NA,"FIN"
"64",0.2595362,NA,NA,13808.0655060453,883483,21636,26514,1670216,468861002.876235,48.3570333880679,NA,1.54134137387981,0,NA,NA,NA,"FJI"
"65",-0.1488629,100.851457981537,NA,3468.5688310987,112640,2035,2464,NA,NA,160.914285714286,NA,2.63833046142064,NA,NA,NA,NA,"FSM"
"66",NA,NA,NA,NA,48497,NA,NA,NA,NA,34.7399698278226,NA,11.4462955662981,NA,NA,NA,NA,"FRO"
"67",1.480526,63.4484443858926,NA,45479.7833012553,66977107,5770806,7648100,70188028,59857774930.3435,122.319882597837,22.7605277128497,12.0884793768866,0.00548260284046104,NA,40.310768856443,NA,"FRA"
"68",-0.8122834,72.0488818477495,NA,14743.3895003601,2119275,33284,42242,NA,845752960.6347,8.22476423332169,NA,15.5558595298651,15.337845324735,NA,1.67494670600594,NA,"GAB"
"69",1.341884,61.7765075378058,NA,46330.3446112899,66460344,5600012,6626046,165388610,81158909779.2008,274.708981936924,26.8304584761102,13.200978246274,0.322695836807796,NA,21.5331895948845,NA,"GBR"
"70",-0.2529525,109.38288569644,NA,16824.8928963649,111454,4867,5857,NA,153748019.800794,327.805882352941,NA,6.60613152351978,0,NA,NA,NA,"GRD"
"71",0.6145709,111.756014107845,27.5,14247.6089751488,3726549,207660,346296,516034,1218652826.35,65.2752020714511,28.909669509243,4.22024835167253,0.147968152713103,NA,NA,64.6377798676727,"GEO"
"72",1.397863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GUF"
"73",-0.2102704,71.6781524271756,NA,5194.4390009745,29767108,419525,493999,467438,2989035000,130.821429199262,18.4905668363887,1.45739715218881,2.96360877021415,59.520413782887,0.792048067340975,1.37697870145024,"GHA"
"74",NA,NA,NA,NA,33718,NA,NA,NA,NA,3371.8,NA,34.3452214669274,NA,NA,NA,NA,"GIB"
"75",0.8380827,85.8493601386626,NA,NA,56025,NA,NA,NA,NA,0.136496528200755,NA,10.6948350122806,NA,NA,NA,NA,"GRL"
"76",-0.6234712,63.3647647572075,NA,2144.22505358703,2280102,28884,30169,53735,32957945.2678928,225.30652173913,NA,9.67088648285922,0,1.75799959015575,NA,7.08215127207408,"GMB"
"77",-0.9709232,90.6283609158764,NA,2495.12751618809,12414318,138502,224770,NA,352760000,50.5222122741332,14.8467358416306,1.81156655898875,0,2.28431612742755,NA,1.7142901320881,"GIN"
"78",-1.29438,104.514601741715,NA,20359.8451441929,1308974,15621,16544,466435.119298493,395884364.5524,46.6657397504456,NA,1.28097413201429,19.2304911809294,NA,NA,NA,"GNQ"
"79",0.3382609,72.5197000538031,NA,29715.1224278718,10731726,1031639,1292377,15125933.5152598,4025447788.57701,83.2562141194725,29.4044033550614,11.3423773738507,0.0130708225796104,NA,30.9848368816051,NA,"GRC"
"80",-0.6820061,45.8054599652383,NA,8449.59203006676,17247807,370834,459149,145795,935617740,160.953779395297,16.5302406271128,0.46718767180629,0.124129202357205,3.98668142098921,3.15105712851878,59.1131857536847,"GTM"
"81",0.2727026,73.3614864864865,NA,NA,165768,7338,8991,NA,NA,306.977777777778,NA,44.7885334196663,0,NA,NA,NA,"GUM"
