"media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","country_id"
0.958,0.59,1.091,0.82,1.093,0.792,"BIH"
0.523,0.768,1.165,0.861,0.207,0.666,"BGR"
0.629,1.345,0.289,0.73,-0.778,0.766,"COM"
1.655,0.687,1.212,0.907,0.808,0.401,"HRV"
-1.505,-1.006,1.999,0.27,-0.938,0.841,"CUB"
1.88,2.064,2.769,0.842,1.934,0.186,"CYP"
1.076,1.966,3.021,0.887,1.336,0.273,"CZE"
2.447,3.029,2.16,0.912,2.964,0.016,"DNK"
-1.111,-1.274,0.304,0.543,-2.179,0.829,"GNQ"
2.558,3.256,2.464,0.868,1.765,0.042,"EST"
0.042,0.288,0.822,0.552,0.374,0.22,"FJI"
2.19,2.974,0.974,0.866,2.953,0.041,"FIN"
2.12,1.734,1.762,0.722,1.142,0.311,"GRC"
0.255,1.136,0.515,0.803,-0.008,0.515,"GUY"
1.146,0.369,2.082,0.738,-0.095,0.134,"HKG"
2.333,1.134,2.386,0.902,2.238,0.027,"ISL"
2.077,1.543,2.149,0.808,1.788,0.181,"ISR"
0.789,0.444,2.584,0.762,1.635,0.454,"KWT"
1.525,3.124,1.933,0.896,1.227,0.117,"LTU"
2.133,1.82,2.542,0.882,2.778,0.059,"LUX"
0.602,0.716,1.167,0.718,0.91,0.512,"MKD"
0.787,1.189,1.364,0.711,0.608,0.367,"MYS"
1.039,0.765,2.693,0.871,0.822,0.141,"MLT"
1.601,2.298,1.888,0.778,1.27,0.442,"MUS"
0.458,-0.132,1.635,0.821,0.573,0.609,"MNE"
2.324,3.342,1.52,0.892,2.512,0.029,"NZL"
2.401,2.589,2.595,0.841,2.965,0.022,"NOR"
-1.785,-1.065,2.122,0.596,-0.351,0.315,"OMN"
1.256,0.182,-1.631,0.706,0.386,0.613,"PRY"
0.972,1.19,0.138,0.878,-0.384,0.396,"ROU"
0.775,1.875,0.179,0.777,1.493,0.291,"STP"
-1.237,-1.997,1.762,0.465,-0.972,0.632,"SAU"
-0.302,-0.369,0.888,0.863,1.027,0.629,"SRB"
0.446,1.573,1.825,0.51,2.113,0.212,"SYC"
-1.421,-0.204,2.261,0.778,2.838,0.009,"SGP"
2.048,0.881,1.075,0.891,1.009,0.257,"SVK"
0.782,0.684,1.203,0.879,1.644,0.115,"SVN"
1.001,1.482,-1.349,0.685,1.033,0.705,"SLB"
0.984,0.337,0.737,0.75,1.331,0.439,"VUT"
-2.861,-1.882,1.815,0.376,1.888,0.124,"ARE"
0.095,0.959,0.678,0.873,0.214,0.192,"HUN"
-1.281,-1.731,NA,0.159,-1.668,0.483,"VAT"
