"","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","country_id"
"156",282,460,99.7,90.8,99.1,2004,0.9,"SVN"
"157",19.1,140,83.3,32.4,31.3,82,0.5,"SLB"
"158",2.9,90,52.5,19,16.2,NA,NA,"SOM"
"159",81.8,280,94.4,49.7,73.1,576,0.7,"ZAF"
"160",232.6,1150,99.9,90.3,99.9,1604,0.9,"KOR"
"161",1.5,76,26.8,26.8,10.4,28,0.4,"SSD"
"162",387.2,300,98.3,91.9,99.9,2322,0.9,"ESP"
"163",88.1,360,91.9,70.6,94.2,212,0.8,"LKA"
"164",106,230,94.2,69.58,91.9,639,0.8,"KNA"
"165",10.3,130,94.2,63.3,90.9,285,0.7,"LCA"
"166",57.4,260,94.2,57.4,87.2,314,0.7,"VCT"
"167",28,80,61.3,45.8,34.6,58,0.5,"SDN"
"168",81.7,310,92.9,54.5,79.2,630,0.7,"SUR"
"169",418.8,260,99.9,95.5,99.3,4498,0.9,"SWE"
"170",424.8,470,99.9,95.6,99.9,4939,0.9,"CHE"
"171",154.6,150,52.5,67.2,92.9,NA,0.5,"SYR"
"172",171.4,480,99.8,51.7,95.5,60,0.7,"TJK"
"173",2.2,70,77.9,33.9,23.5,45,0.5,"TZA"
"174",47,210,92.9,69.5,95,496,0.8,"THA"
"175",7.8,590,58.3,43.4,44,68,0.6,"TLS"
"176",5.3,70,63.7,32,13.9,20,0.5,"TGO"
"177",55.8,260,99.4,49.6,93.5,205,0.7,"TON"
"178",182.1,300,98.7,64.3,92.1,1151,0.8,"TTO"
"179",128.9,230,79,69.4,93.1,457,0.7,"TUN"
"180",174.9,270,96.2,74.4,96.4,854,0.8,"TUR"
"181",229.1,740,99.7,61.6,96.6,207,0.7,"TKM"
"182",109.1,560,99,57.66,91.4,508,NA,"TUV"
"183",9.3,50,70.2,31.4,19.2,19,0.5,"UGA"
"184",300,880,100,74.6,95.9,227,0.8,"UKR"
"185",155.8,120,90,70.3,100,1845,0.9,"ARE"
"186",282.5,280,99.9,90.5,99.1,3352,0.9,"GBR"
"187",256.8,290,99.9,88.7,100,8078,0.9,"USA"
"188",373.6,280,98.6,71,95.7,1404,0.8,"URY"
"189",245.1,400,100,62.9,100,192,0.7,"UZB"
"190",18.6,170,97.1,32.4,53.5,63,0.6,"VUT"
"191",192.5,80,97.1,67.8,94.9,973,0.8,"VEN"
"192",82.1,260,93.5,60.3,78.2,169,0.7,"VNM"
"193",31.1,70,52.5,43.3,59.7,72,0.5,"YEM"
"194",9.1,200,83,29,31.1,67,0.6,"ZMB"
"195",7.7,170,88.7,31.2,38.6,86,0.5,"ZWE"
