"","country_id","country","region","X.x","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","X.y","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","X.x.x","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","X.y.y","share_health_ins","X.x.x.x","pandemic_prep","X.y.y.y","pop_den_2018","X.x.x.x.x","life_exp_2017","X.y.y.y.y","resp_disease_prev","X.x.x.x.x.x","detect_index","X.y.y.y.y.y","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","X.x.x.x.x.x.x","health_index","X.y.y.y.y.y.y","respond_index","X","state_fragility","pr","share_older","pop_tot_log","pop_density_log"
"21","BHR","Bahrain","Middle East & North Africa",22,0.1798774,151.593404154427,NA,46.1722536598526,1.569439,20433,17635,15.5865576662139,111170212.765957,2017.27369979138,NA,51.12678500505,2.01226462292815,NA,NA,NA,19,19.2543101196218,-10,48,0.605,0.895,0,0,-1.704,-1.537,1.12,0.68,-0.919,0.521,NA,33.5,NA,0,-0.779974484290015,NA,NA,NA,NA,994,994,0.00100603621730382,NA,0,1,NA,NA,0,12,30.1,0.0359999984502792,0.502129971981049,0.552825093269348,0.55059999,0.493999987840653,13,100,88,39.4,21,2017.27369979138,19,77.032,13,3.345046535349,72,45.8,13,92.2,200,94.9,72,100,1145,0.8,80,27.7,71,43.2,96,9,0,2.42558009581768,0.45071823066372,7.60950222522392
"22","BHS","Bahamas","Latin America & Caribbean",29,0.5391499,77.3503963942211,NA,35.5005441974506,0.38564,12222,15764,13.9954268885127,491404689.229667,38.5254745254745,NA,15.2843030882508,0,NA,NA,NA,20,22.4848756732367,NA,44.075,0.264682,0.4799858,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.875373833990843,4,4,NA,NA,780,780,0.00128205128205128,NA,0,NA,NA,NA,0,11,31.8,NA,0.422845155000687,0.681459426879883,NA,NA,12,100,142,30.6,22,38.5254745254745,20,73.554,173,3.3358380905292,153,21.8,12,226.3,290,99.9,66.4,92,716,0.8,177,7.9,121,30.9,NA,NA,0,7.25702727932787,-0.952850987185958,3.65131969846905
"23","BIH","Bosnia_and_Herzegovina","Europe & Central Asia",16,-0.6185398,96.3680814875121,NA,14.4634073566994,3.323929,232358,315115,NA,488903026.034015,64.92048828125,NA,0.913364839954483,0,40.1629566997666,38.6248991193293,17.4174960361708,21,14.7662176493152,NA,39.3333333333333,0.62959,0.84706976,0,0,0.958,0.59,1.091,0.82,1.093,0.792,NA,NA,NA,0,0.516210604554769,3,NA,NA,NA,964,964,0.00103734439834025,NA,0,NA,NA,NA,0,21,39.5,0.372999995946884,0.630038022994995,0.685085713863373,0.68050599,2.92199993133545,22,59.2,79,42.8,23,64.92048828125,21,77.128,23,2.8122215853826,92,41.7,22,188.6,350,97,72.2,94.8,795,0.8,45,38.3,36,51.8,53,4,1,16.4706586693037,1.20114751695762,4.17316326389429
"24","BLR","Belarus","Europe & Central Asia",32,-0.3010303,139.393736250171,21.4,18.8852354999668,9.483499,458688,949159,14.8308024677028,1426500000,46.7195037884204,21.1385270352219,11.4040105621143,0.515380884649527,49.9879494759897,31.1263871558835,54.081262435566,22,16.8659430504801,-7,23.675,0.370286,0.610757152,0,0,-0.782,-0.578,1.923,0.661,-0.916,0.281,NA,32.80737,56.0576293385724,1,-0.626950298691315,3,NA,1359,214,1359,214,0.00467289719626168,NA,0,NA,NA,NA,0,15,39.3,0.108999997377396,0.32218399643898,0.611620724201202,0.37165403,0.358000010251999,16,100,108,35.3,24,46.7287999040892,22,74.1292682926829,16,3.136941963783,133,28.9,16,407,1100,99.6,79,94.3,707,0.8,40,40.6,57,46.6,59,5,0,14.8452274840752,2.24955334099593,3.84416171749654
"25","BLZ","Belize","Latin America & Caribbean",33,-0.5938884,115.710066629873,NA,7.18500337073045,0.383071,9299,8842,14.0759762698431,119541646.954707,16.7939938623411,NA,14.990801225761,0.566050492041156,NA,0.0569634920442284,NA,23,30.2797653698662,NA,NA,0.635144,0.790885528,2,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1.02854486475107,3,3,NA,NA,264,264,0.00378787878787879,NA,0,NA,NA,NA,0,17,23,NA,0.701539993286133,0.581293225288391,NA,NA,18,25,135,31.8,25,16.7939938623411,23,74.365,18,3.4958959476106,129,30.4,18,82.8,130,94.2,55.7,87.2,359,0.7,163,9.7,152,25.5,NA,NA,0,4.73567563193246,-0.9595349283919,2.82102131429394
"26","BMU","Bermuda","North America",25,1.387551,NA,NA,NA,0.063973,NA,NA,NA,95689121.5,1184.68516426289,NA,30.8463970066447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,859,859,0.00116414435389988,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1184.59257167194,24,81.4419512195122,20,3.0946157916225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74929415963676,7.0772323341026
"27","BOL","Bolivia","Latin America & Caribbean",27,-0.3220994,57.1099645707698,30.4,8.65553009931298,11.353142,377907,438604,15.2318766965275,302368781.37636,10.4801458506416,41.3356144052457,1.33326744185504,1.32030413260639,7.77063502396189,NA,76.8804538098556,24,31.0735477456373,7,43.5875,0.6724,0.852944,1,0.03,0.269,0.082,-0.709,0.648,0.642,0.465,NA,NA,33.4735071488646,0,0.0611644019031355,2,2,53,53,53,53,0.0188679245283019,NA,1,NA,NA,NA,0,20,22.4,0.419999986886978,0.739625036716461,0.208468601107597,0.74339998,3.1800000667572,21,42.7,102,35.8,27,10.4801458506416,25,70.945,22,3.444861057383,123,33.1,21,47.3,110,92.5,48.8,52.6,326,0.7,131,14.9,131,29.2,115,11,1,7.19193858405012,2.42949453381139,2.34948259584201
"28","BRA","Brazil","Latin America & Caribbean",28,-0.4474374,29.3977825566287,42.5,14.5962461623842,209.469333,8051645,10639033,18.4415610060778,78162572752.95,25.0617162430876,41.9461931451321,0.34331320024167,1.25033804009295,30.5353119182891,32.2916882259072,23.7161630091311,25,21.3340719108545,8,45.85,0.515262,0.983524128,2,0.511,1.231,0.294,-0.248,0.803,-0.183,0.309,143.472732953829,6.52759,7.21476510067114,1,0.763042381127247,4,4,935,935,935,935,0.00106951871657754,NA,0,NA,NA,NA,0,23,30.3,0.71399998664856,0.540835976600647,0.60543018579483,0.54949999,2.61100006103516,23,100,22,59.7,28,25.0617162430876,26,75.456,25,3.2707790898734,12,82.4,24,185.2,220,92,63.8,86.1,591,0.8,33,45,9,67.1,72,6,1,8.92287082424614,5.34457734678575,3.22134143248155
"29","BRB","Barbados","Latin America & Caribbean",17,0.4269727,82.8798328474247,NA,15.7240042656804,0.286641,19933,25362,NA,195096000,666.606976744186,NA,12.1299016589554,0.0553369871858055,NA,0.00832839790453467,NA,26,17.342948147683,NA,46.5,0,0,0,0,2.279,2.687,2.263,0.804,1.721,0.099,NA,NA,NA,0,-0.875373833990843,4,4,NA,NA,1176,1176,0.000850340136054422,NA,1,NA,NA,NA,0,14,36.9,0.66100001335144,0.142342001199722,0.693402886390686,NA,3.67499995231628,15,100,133,31.9,29,666.606976744186,27,78.981,15,3.178734777574,159,19.1,15,181.1,580,99.6,70.8,96.5,607,0.8,173,8.5,140,27.2,NA,NA,0,15.8019962252434,-1.2495247172949,6.50220063198176
"30","BRN","Brunei_Darussalam","East Asia & Pacific",26,1.252714,93.896319873231,NA,60.3889030876585,0.428962,10167,10735,14.0261409451719,511497137.753507,81.3969639468691,NA,24.2759719084662,8.83716202918395,NA,NA,NA,27,23.0264614896856,NA,NA,0.6184,0.750776,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,2000,0,NA,0,NA,NA,NA,0,24,30.5,NA,0.541599988937378,0.440405309200287,NA,NA,24,100,128,32.6,30,81.3969639468691,28,75.585,26,4.1462374605922,128,30.5,25,174.6,270,96.1,76.4,96.3,1720,0.9,88,24.2,110,33.4,NA,NA,NA,4.87269268606543,-0.846386942065969,4.3993379743629
