Name,Country,office,start,end,length,position,head of government,inoffice2020-01-01,headgov20200101,GeoId2
Sabine Bergmann-Pohl, East Germany,President of the People's Chamber,5-Apr-90,2-Oct-90,180 days,Head of state,0,0,0,
Margaret Thatcher, United Kingdom,Prime Minister,4-May-79,28-Nov-90,"11 years, 208 days",Head of government,1,0,0,
Kazimira Prunskien?, Lithuania,Prime Minister,17-Mar-90,10-Jan-91,299 days,Head of government,1,0,0,
Ertha Pascal-Trouillot, Haiti,Acting President,13-Mar-90,7-Feb-91,331 days,Head of state,0,0,0,
Édith Cresson, France,Prime Minister,15-May-91,2-Apr-92,323 days,Head of government,1,0,0,
Corazon Aquino, Philippines,President,25-Feb-86,30-Jun-92,"6 years, 126 days",Head of state and government,1,0,0,
Hanna Suchocka, Poland,Prime Minister,11-Jul-92,25-Oct-93,"1 year, 106 days",Head of government,1,0,0,
Sylvie Kinigi, Burundi,Prime Minister,10-Jul-93,27-Oct-93,109 days,Head of government,1,0,0,
Kim Campbell, Canada,Prime Minister,25-Jun-93,4-Nov-93,132 days,Head of government,1,0,0,
Sylvie Kinigi, Burundi,Acting President,27-Oct-93,5-Feb-94,101 days,Head of state,0,0,0,
Agathe Uwilingiyimana, Rwanda,Prime Minister,18-Jul-93,7-Apr-94,263 days,Head of government,1,0,0,
Chandrika Kumaratunga, Sri Lanka,Prime Minister,19-Aug-94,12-Nov-94,85 days,Deputy head of government,0,0,0,
Reneta Indzhova, Bulgaria,Acting Prime Minister,17-Oct-94,25-Jan-95,100 days,Head of government,1,0,0,
Dame Eugenia Charles, Dominica,Prime Minister,21-Jul-80,14-Jun-95,"14 years, 328 days",Head of government,1,0,0,
Claudette Werleigh, Haiti,Prime Minister,7-Nov-95,27-Feb-96,112 days,Head of government,1,0,0,
Tansu Çiller, Turkey,Prime Minister,13-Jun-93,6-Mar-96,"2 years, 267 days",Head of government,1,0,0,
Khaleda Zia, Bangladesh,Prime Minister,27-Feb-91,30-Mar-96,"5 years, 32 days",Head of government,1,0,0,
Vigdís Finnbogadóttir, Iceland,President,1-Aug-80,31-Jul-96,"16 years, 0 days",Head of state,0,0,0,
Gro Harlem Brundtland, Norway,Prime Minister,3-Nov-90,25-Oct-96,"5 years, 357 days",Head of government,1,0,0,
Benazir Bhutto, Pakistan,Prime Minister,19-Oct-93,5-Nov-96,"3 years, 17 days",Head of government,1,0,0,
Violeta Chamorro, Nicaragua,President,25-Apr-90,10-Jan-97,"6 years, 260 days",Head of state and government,1,0,0,
Rosalía Arteaga Serrano, Ecuador,Acting President,9-Feb-97,11-Feb-97,2 days,Head of state and government,1,0,0,
Ruth Perry, Liberia,Chairwoman of the Council of State,3-Sep-96,2-Aug-97,333 days,Head of state and government,1,0,0,
Mary Robinson, Ireland,President,3-Dec-90,12-Sep-97,"6 years, 283 days",Head of state,0,0,0,
Janet Jagan, Guyana,Prime Minister,17-Mar-97,19-Dec-97,277 days,*,,0,0,
Irena Degutien?, Lithuania,Acting Prime Minister,4-May-99,18-May-99,14 days,Head of government,1,0,0,
Nyam-Osoryn Tuyaa, Mongolia,Acting Prime Minister,22-Jul-99,30-Jul-99,8 days,Head of government,1,0,0,
Irena Degutien?, Lithuania,Acting Prime Minister,27-Oct-99,3-Nov-99,7 days,Head of government,1,0,0,
Jenny Shipley, New Zealand,Prime Minister,5-Dec-97,5-Dec-99,"2 years, 0 days",Head of government,1,0,0,
Sirimavo Bandaranaike, Sri Lanka,Prime Minister,14-Nov-94,9-Aug-00,"5 years, 269 days",Deputy head of government,0,0,0,
Sheikh Hasina, Bangladesh,Prime Minister,12-Jun-96,15-Jul-01,"5 years, 33 days",Head of government,1,0,0,
Chang Sang, South Korea,Acting Prime Minister,11-Jul-02,31-Jul-02,20 days,*,,0,0,
Mame Madior Boye, Senegal,Prime Minister,3-Mar-01,4-Nov-02,"1 year, 246 days",Head of government,1,0,0,
Anneli Jäätteenmäki, Finland,Prime Minister,17-Apr-03,24-Jun-03,68 days,Head of government,1,0,0,
Beatriz Merino, Peru,Prime Minister,28-Jun-03,15-Dec-03,170 days,*,,0,0,
Nino Burjanadze, Georgia,Acting President,23-Nov-03,25-Jan-04,63 days,Head of state,0,0,0,
Radmila Šekerinska, North Macedonia,Acting Prime Minister,12-May-04,12-Jun-04,31 days,Head of government,1,0,0,
Barbara Prammer, Austria,Co-Acting President,6-Jul-04,8-Jul-04,2 days,Head of state,0,0,0,
Mireya Moscoso, Panama,President,1-Sep-99,1-Sep-04,"5 years, 0 days",Head of state and government,1,0,0,
Maria das Neves, São Tomé and Príncipe,Prime Minister,3-Oct-02,18-Sep-04,"1 year, 351 days",Head of government,1,0,0,
Megawati Sukarnoputri, Indonesia,President,23-Jul-01,20-Oct-04,"3 years, 89 days",Head of state and government,1,0,0,
Yulia Tymoshenko, Ukraine,Prime Minister,24-Jan-05,6-Sep-05,225 days,Head of government,1,0,0,
Maria do Carmo Silveira, São Tomé and Príncipe,Prime Minister,8-Jun-05,21-Apr-06,317 days,Head of government,1,0,0,
Khaleda Zia, Bangladesh,Prime Minister,1-Oct-01,29-Oct-06,"5 years, 28 days",Head of government,1,0,0,
Han Myeong-sook, South Korea,Prime Minister,19-Apr-06,7-Mar-07,322 days,*,,0,0,
Vaira V??e-Freiberga, Latvia,President,8-Jul-99,8-Jul-07,"8 years, 0 days",Head of state,0,0,0,
Dalia Itzik, Israel,Acting President,25-Jan-07,15-Jul-07,171 days,Head of state,0,0,0,
Portia Simpson-Miller, Jamaica,Prime Minister,30-Mar-06,11-Sep-07,"1 year, 165 days",Head of government,1,0,0,
Nino Burjanadze, Georgia,Acting President,25-Nov-07,20-Jan-08,56 days,Head of state,0,0,0,
Ivy Matsepe-Casaburri, South Africa,Acting President,25-Sep-08,25-Sep-08,14 hours[5][6],Head of state and government,1,0,0,
Helen Clark, New Zealand,Prime Minister,5-Dec-99,19-Nov-08,"8 years, 350 days",Head of government,1,0,0,
Zinaida Greceanîi, Moldova,Prime Minister,31-Mar-08,14-Sep-09,"1 year, 167 days",Head of government,1,0,0,
Rose Francine Rogombé, Gabon,Acting President,10-Jun-09,16-Oct-09,128 days,Head of state,0,0,0,
Michèle Pierre-Louis, Haiti,Prime Minister,5-Sep-08,11-Nov-09,"1 year, 67 days",Head of government,1,0,0,
Cécile Manorohanta, Madagascar,Acting Prime Minister,18-Dec-09,20-Dec-09,2 days,Head of government,1,0,0,
Luísa Diogo, Mozambique,Prime Minister,17-Feb-04,16-Jan-10,"5 years, 333 days",Head of government,1,0,0,
Yulia Tymoshenko, Ukraine,Prime Minister,18-Dec-07,3-Mar-10,"2 years, 75 days",Head of government,1,0,0,
Michelle Bachelet, Chile,President,11-Mar-06,11-Mar-10,"4 years, 0 days",Head of state and government,1,0,0,
Gloria Macapagal Arroyo, Philippines,President,20-Jan-01,30-Jun-10,"9 years, 161 days",Head of state and government,1,0,0,
Mari Kiviniemi, Finland,Prime Minister,22-Jun-10,22-Jun-11,"1 year, 0 days",Head of government,1,0,0,
